Key,NUTS2 Origin,NUTS2 Destination,Distance (km),Time (h)
AT21-DE26,AT21,DE26,558.92,6.29
AT21-DE27,AT21,DE27,374.84,4.38
AT21-DE30,AT21,DE30,801.91,8.41
AT21-DE40,AT21,DE40,802.09,8.43
AT21-DE50,AT21,DE50,987.15,10.83
AT21-DE60,AT21,DE60,954.78,10.15
AT21-DE71,AT21,DE71,647.42,7.36
AT21-DE72,AT21,DE72,702.18,7.91
AT21-DE73,AT21,DE73,706.28,7.84
AT21-DE80,AT21,DE80,1020.6,10.75
AT21-DE91,AT21,DE91,793.55,8.64
AT21-DE92,AT21,DE92,873.25,9.56
AT21-DE93,AT21,DE93,918.15,9.83
AT21-DE94,AT21,DE94,1007.28,11.22
AT21-DEA1,AT21,DEA1,894.63,10.27
AT21-DEA2,AT21,DEA2,836.33,9.69
AT21-DEA3,AT21,DEA3,910.53,10.25
AT21-DEA4,AT21,DEA4,840.1,9.33
AT21-DEA5,AT21,DEA5,836.57,9.51
AT21-DEB1,AT21,DEB1,744.2,8.61
AT21-DEB2,AT21,DEB2,793.6,9.39
AT21-DEB3,AT21,DEB3,664.15,7.84
AT21-DED2,AT21,DED2,647.4,6.87
AT21-DED4,AT21,DED4,569.54,6.03
AT21-DED5,AT21,DED5,656.91,6.94
AT21-DEE0,AT21,DEE0,731.2,7.61
AT21-DEF0,AT21,DEF0,1051.3,11.15
AT21-DEG0,AT21,DEG0,640.51,6.87
AT21-DK01,AT21,DK01,1189.37,12.43
AT21-DK02,AT21,DK02,1137.58,11.8
AT21-DK03,AT21,DK03,1190.59,12.79
AT21-DK04,AT21,DK04,1281.81,13.51
AT21-DK05,AT21,DK05,1370.48,14.43
AT21-EE00,AT21,EE00,1891.37,21.05
AT21-EL30,AT21,EL30,1608.53,16.63
AT21-EL41,AT21,EL41,1756.7,18.94
AT21-EL42,AT21,EL42,1971.44,20.49
AT21-EL43,AT21,EL43,1931.29,19.65
AT21-EL51,AT21,EL51,1431.88,15.75
AT21-EL52,AT21,EL52,1296.31,14.13
AT21-EL53,AT21,EL53,1251.61,13.25
AT21-EL54,AT21,EL54,1168.63,12.14
AT21-EL61,AT21,EL61,1414.95,14.74
AT21-EL62,AT21,EL62,1662.18,16.97
AT21-EL63,AT21,EL63,1328.56,13.69
AT21-EL64,AT21,EL64,1509.98,15.65
AT21-EL65,AT21,EL65,1543.87,15.81
AT21-ES11,AT21,ES11,2257.74,25.91
AT21-ES12,AT21,ES12,1995.56,23.05
AT21-ES13,AT21,ES13,1836.92,21.16
AT21-ES21,AT21,ES21,1707,19.67
AT21-ES22,AT21,ES22,1655.76,18.92
AT21-ES23,AT21,ES23,1749.76,19.96
AT21-ES24,AT21,ES24,1586.11,17.72
AT21-ES30,AT21,ES30,1897.98,21.18
AT21-ES41,AT21,ES41,1923.26,22.01
AT21-ES42,AT21,ES42,1900.88,20.97
AT21-ES43,AT21,ES43,2232.62,24.73
AT21-ES51,AT21,ES51,1377.1,15.34
AT21-ES52,AT21,ES52,1649.57,18.2
AT21-ES53,AT21,ES53,1481.8,16.06
AT21-ES61,AT21,ES61,2158.89,23.57
AT21-ES62,AT21,ES62,1856.03,20.2
AT21-ES63,AT21,ES63,2349.06,25.37
AT21-FI19,AT21,FI19,2333,26.67
AT21-FI1B,AT21,FI1B,1973.67,22.34
AT21-FI1C,AT21,FI1C,2080.92,24.1
AT21-FI1D,AT21,FI1D,2591.73,29.22
AT21-FI20,AT21,FI20,1959.27,22.43
AT21-FR10,AT21,FR10,1058.67,12.87
AT21-FR21,AT21,FR21,899.15,10.94
AT21-FR22,AT21,FR22,1073.09,13.09
AT21-FR23,AT21,FR23,1185.12,14.62
AT21-FR24,AT21,FR24,1137.87,13.85
AT21-FR25,AT21,FR25,1326.61,16.45
AT21-FR26,AT21,FR26,921.96,11.09
AT21-FR30,AT21,FR30,1083.26,13.18
AT21-FR41,AT21,FR41,750.05,9.06
AT21-FR42,AT21,FR42,677.05,8.04
AT21-FR43,AT21,FR43,761.29,9.14
AT21-FR51,AT21,FR51,1353,16.52
AT21-FR52,AT21,FR52,1523.87,18.87
AT21-FR53,AT21,FR53,1319.72,15.9
AT21-FR61,AT21,FR61,1423.71,16.63
AT21-FR62,AT21,FR62,1305.98,15.05
AT21-FR63,AT21,FR63,1202.74,14.26
AT21-FR71,AT21,FR71,875.82,10.22
AT21-FR72,AT21,FR72,1091.22,12.87
AT21-FR81,AT21,FR81,1143.56,13.19
AT21-FR82,AT21,FR82,916.71,10.49
AT21-FR83,AT21,FR83,807.01,8.64
AT21-HR03,AT21,HR03,423.88,4.46
AT21-HR04,AT21,HR04,368.8,4.35
AT21-HU10,AT21,HU10,502.74,6.07
AT21-HU21,AT21,HU21,388.62,4.69
AT21-HU22,AT21,HU22,329.82,3.95
AT21-HU23,AT21,HU23,388.77,4.66
AT21-HU31,AT21,HU31,649.34,7.78
AT21-HU32,AT21,HU32,677.1,8.28
AT21-HU33,AT21,HU33,605.4,7.23
AT21-IE01,AT21,IE01,2082.89,26.18
AT21-IE02,AT21,IE02,2067.7,25.72
AT21-ITC1,AT21,ITC1,590.17,6.89
AT21-ITC2,AT21,ITC2,642.35,7.65
AT21-ITC3,AT21,ITC3,613.57,6.86
AT21-ITC4,AT21,ITC4,454.78,5.23
AT21-ITF1,AT21,ITF1,748.98,7.91
AT21-ITF2,AT21,ITF2,849.22,8.99
AT21-ITF3,AT21,ITF3,952.08,9.98
AT21-ITF4,AT21,ITF4,931.27,9.79
AT21-ITF5,AT21,ITF5,1004.6,10.53
AT21-ITF6,AT21,ITF6,1180.6,12.25
AT21-ITG1,AT21,ITG1,1348.91,13.7
AT21-ITG2,AT21,ITG2,1097.78,11.51
AT21-ITH1,AT21,ITH1,212.96,2.57
AT21-ITH2,AT21,ITH2,294.88,3.45
AT21-ITH3,AT21,ITH3,270.34,3.1
AT21-ITH4,AT21,ITH4,162.4,1.81
AT21-ITH5,AT21,ITH5,448.57,4.96
AT21-ITI1,AT21,ITI1,563.58,6
AT21-ITI2,AT21,ITI2,605.53,6.38
AT21-ITI3,AT21,ITI3,604.03,6.48
AT21-ITI4,AT21,ITI4,769.29,8.02
AT21-LT00,AT21,LT00,1386.06,15.64
AT21-LU00,AT21,LU00,806.38,9.64
AT21-LV00,AT21,LV00,1656.55,18.8
AT21-NL11,AT21,NL11,1081.62,12.24
AT21-NL12,AT21,NL12,1116.83,12.85
AT21-NL13,AT21,NL13,1041.1,11.88
AT21-NL21,AT21,NL21,1024.75,11.68
AT21-NL22,AT21,NL22,982.76,11.29
AT21-NL23,AT21,NL23,1057.19,12.07
AT21-NL31,AT21,NL31,1035.89,12.03
AT21-NL32,AT21,NL32,1104.24,12.79
AT21-NL33,AT21,NL33,1079.56,12.66
